fold,model_variant,mae,rmse,mape_percent,train_size,test_size
1,baseline_formula,14.51741,15.451206448526925,46.266373882290196,200,50
1,ml_full,2.1664133560180665,2.868099882313297,8.034682048721912,200,50
1,ml_no_news_risk,3.239622006225586,4.0023209743746015,11.954056411286244,200,50
1,ml_no_weather_risk,2.808744488525391,3.353148826545528,10.346674781758297,200,50
2,baseline_formula,15.42471,16.369896631469608,46.4232271997871,250,50
2,ml_full,1.6378784225463867,2.1968409405848504,5.56518776961883,250,50
2,ml_no_news_risk,2.300057647705078,2.9195197303596174,7.59707199625055,250,50
2,ml_no_weather_risk,1.918172904205322,2.5444977841326883,6.462935840018871,250,50
3,baseline_formula,14.1799,15.249097271969907,44.98453236206686,300,50
3,ml_full,1.6593886291503903,2.0460687507204467,6.3607594289972145,300,50
3,ml_no_news_risk,2.2605237625122068,2.808003579594382,8.670064407987999,300,50
3,ml_no_weather_risk,2.144021681976318,2.735813417786841,8.04084136275064,300,50
4,baseline_formula,16.4648,17.320938863987713,47.21754089686706,350,50
4,ml_full,1.4168370086669921,1.905333560689898,4.393104656262337,350,50
4,ml_no_news_risk,2.6828811233520504,3.341402968497847,8.05567834694857,350,50
4,ml_no_weather_risk,2.350597505187988,2.9085445626554383,7.323620290069274,350,50
5,baseline_formula,14.327660000000002,15.611540091867939,44.954496799172645,400,50
5,ml_full,1.8357088882446289,2.3538246591948258,7.086965702558095,400,50
5,ml_no_news_risk,2.747518405151366,3.483511372467735,10.463898649043216,400,50
5,ml_no_weather_risk,2.4227532073974607,2.958886014920068,9.179771102440903,400,50
6,baseline_formula,15.105920000000001,15.92159093715198,45.95763186745114,450,50
6,ml_full,1.3811086433410649,1.9223300737686821,4.823824170963229,450,50
6,ml_no_news_risk,2.5406551986694335,3.214547682623043,8.252275755125062,450,50
6,ml_no_weather_risk,2.0864375717163086,2.5799507575489193,6.9939096991848,450,50
